id,name,brand,price,review
P101,Wireless Mouse,ClickPro,899,Excellent build quality and highly recommend for office use
P102,Gaming Keyboard,KeyMax,2499,Good feel but average key response
P103,Bluetooth Speaker,SoundWave,2799,Superb sound with great quality
P203,Bluetooth Headset ,SoundWave,4799,ok sound but poor quality plastic body
P303,Wifi Speaker,SoundWave,1799,Superb sound but poor quality plastic body
P104,Smartphone Case,ShieldIt,499,Okay fit and fine protection for daily use
P105,LED Monitor,ViewLine,8999,Terrible backlight bleeding and worst viewing angles
P106,Power Bank,ChargeAll,1299,Value for money and very good backup
P107,USB Cable,WireFlex,199,Bad connector and not good durability
P108,Noise Cancelling Headphones,SilentBeats,5499,Excellent noise cancellation and superb comfort
P109,Smartwatch,FitTime,3999,Satisfied with features but strap quality is average
P110,Laptop Stand,ErgoLift,799,Decent stand, okay stability for light laptops
P210,Laptop Charger ,ErgoLift,1799,Decent stand, great stability for laptops
P310,Night Stand,ErgoLift,799,Decent stand, excellent stability for light laptops
