id,title,genre,boxOffice,review
M101,Shadow Lines,Thriller,120,Brilliant storytelling and a must watch for mystery lovers
M102,Love in Monsoon,Romance,85,Good chemistry between leads and entertaining songs
M103,Space Beyond,Sci-Fi,200,Visuals are a masterpiece but a bit slow in the middle
M104,Family Diary,Drama,60,Average story but decent performances from the cast
M105,The Last Chase,Action,175,Fast-paced and worth watching for action fans
M106,Rusty Roads,Drama,25,Boring and predictable plot with disappointing climax
M107,Comedy Nights,Comedy,95,Okay first half but good entertaining second half
M108,Dark Streets,Horror,70,Bad screenplay and one of the worst endings
M109,Dream Catcher,Fantasy,140,Quite entertaining and a good family watch
M110,Silent Echoes,Mystery,55,Slow narration and average suspense but not a bad attempt
